city,year,arrests,population
"Buffalo, New York",1873,12535,128940
"Washington, DC",1873,11781,120627
"Newark, New Jersey",1873,6752,114494
"Louisville, Kentucky",1873,6555,107654
"Detroit, Michigan",1873,4861,90606
"Milwaukee, Wisconsin",1873,2100,84690
"Providence, Rhode Island",1873,9337,79690
"Richmond, Virginia",1873,6393,54807
"New Haven, Connecticut",1873,5227,54453
"Lowell, Massachusetts",1873,NA,46492
"New York, New York",1874,84821,1047890
"Philadelphia, Pennsylvania",1874,32114,727081
"Brooklyn, New York",1874,26263,466913
"Chicago, Illinois",1874,27995,380660
"Boston, Massachusetts",1874,29799,295437
"St. Louis, Missouri",1874,20655,326726
"Baltimore, Maryland",1874,NA,293338
"Cincinnati, Ohio",1874,14845,231799
"San Francisco, California",1874,13007,183267
"Cleveland, Ohio",1874,9571,119756
"Buffalo, New York",1874,10043,132682
"Washington, DC",1874,13192,124437
"Newark, New Jersey",1874,6400,117639
"Louisville, Kentucky",1874,NA,109955
"Detroit, Michigan",1874,4935,94282
"Milwaukee, Wisconsin",1874,2444,89104
"Providence, Rhode Island",1874,8440,83285
"Richmond, Virginia",1874,6123,56063
"New Haven, Connecticut",1874,5109,55657
"Lowell, Massachusetts",1874,NA,48347
"New York, New York",1875,84399,1074290
"Philadelphia, Pennsylvania",1875,34978,747096
"Brooklyn, New York",1875,24700,484616
"Chicago, Illinois",1875,24232,401081
"Boston, Massachusetts",1875,30445,306664
"St. Louis, Missouri",1875,20515,330691
"Baltimore, Maryland",1875,14130,299834
"Cincinnati, Ohio",1875,10825,235689
"San Francisco, California",1875,16820,191716
"Cleveland, Ohio",1875,8823,126488
"Buffalo, New York",1875,9991,136424
"Washington, DC",1875,14152,128246
"Newark, New Jersey",1875,6482,120784
"Louisville, Kentucky",1875,4562,112256
"Detroit, Michigan",1875,4109,97958
"Milwaukee, Wisconsin",1875,2278,93518
"Providence, Rhode Island",1875,8699,86880
"Richmond, Virginia",1875,5520,57319
"New Haven, Connecticut",1875,5092,56861
"Lowell, Massachusetts",1875,NA,50202
"New York, New York",1876,87307,1100690
"Philadelphia, Pennsylvania",1876,NA,767111
"Brooklyn, New York",1876,26669,501031
"Chicago, Illinois",1876,27291,421502
"Boston, Massachusetts",1876,30041,317892
"St. Louis, Missouri",1876,22851,334656
"Baltimore, Maryland",1876,26816,306329
"Cincinnati, Ohio",1876,11846,239549
"San Francisco, California",1876,20108,200165
"Cleveland, Ohio",1876,8407,133219
"Buffalo, New York",1876,8858,140166
"Washington, DC",1876,14144,132055
"Newark, New Jersey",1876,6270,123927
"Louisville, Kentucky",1876,5514,114556
"Detroit, Michigan",1876,3879,101635
"Providence, Rhode Island",1876,7924,90476
"Richmond, Virginia",1876,5811,58575
"New Haven, Connecticut",1876,4756,58065
"Lowell, Massachusetts",1876,2328,52056
"New York, New York",1877,79865,1127090
"Philadelphia, Pennsylvania",1877,44600,787126
"Chicago, Illinois",1877,28035,441923
"Boston, Massachusetts",1877,26683,319120
"St. Louis, Missouri",1877,19427,338622
"Baltimore, Maryland",1877,26195,312825
"Cincinnati, Ohio",1877,14206,243469
"San Francisco, California",1877,21789,208613
"Cleveland, Ohio",1877,7845,139951
"Buffalo, New York",1877,8126,143908
"Washington, DC",1877,12983,135865
"Newark, New Jersey",1877,5129,127071
"Louisville, Kentucky",1877,6034,116856
"Detroit, Michigan",1877,4657,105311
"Providence, Rhode Island",1877,6754,94071
"Rochester, New York",1877,4201,81272
"Richmond, Virginia",1877,4715,59831
"New Haven, Connecticut",1877,3926,59269
"Lowell, Massachusetts",1877,2291,53911
"New York, New York",1878,78533,1153490
"Philadelphia, Pennsylvania",1878,43593,807140
"Brooklyn, New York",1878,25373,533860
"Chicago, Illinois",1878,27208,462343
"Boston, Massachusetts",1878,25817,340348
"St. Louis, Missouri",1878,18057,342587
"Baltimore, Maryland",1878,24802,319321
"Cincinnati, Ohio",1878,14512,247359
"San Francisco, California",1878,18627,217062
"Cleveland, Ohio",1878,7151,146683
"Buffalo, New York",1878,8126,147650
"Washington, DC",1878,12333,139674
"Newark, New Jersey",1878,4988,130215
"Louisville, Kentucky",1878,4776,119157
"Detroit, Michigan",1878,4332,108987
"Providence, Rhode Island",1878,6056,97666
"Rochester, New York",1878,NA,83970
"Richmond, Virginia",1878,4390,61088
"New Haven, Connecticut",1878,4434,60474
"Lowell, Massachusetts",1878,2708,55766
"New York, New York",1879,65334,1177990
"Philadelphia, Pennsylvania",1879,40714,827155
"Brooklyn, New York",1879,25706,550274
"Chicago, Illinois",1879,27338,482764
"Boston, Massachusetts",1879,24507,351575
"St. Louis, Missouri",1879,14036,346553
"Baltimore, Maryland",1879,20787,325817
"Cincinnati, Ohio",1879,13329,251249
"San Francisco, California",1879,22120,225510
"Cleveland, Ohio",1879,6549,153414
"Buffalo, New York",1879,6697,151392
"Washington, DC",1879,12610,143484
"Newark, New Jersey",1879,4191,133359
"Louisville, Kentucky",1879,4567,121458
"Detroit, Michigan",1879,3922,112664
"Providence, Rhode Island",1879,5328,101262
"Rochester, New York",1879,NA,86668
"Richmond, Virginia",1879,4184,62344
"New Haven, Connecticut",1879,3947,61678
"Lowell, Massachusetts",1879,2559,57620
"New York, New York",1880,68477,1206299
