tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,attachment-type,deployment-id,manipulation-type,tag-manufacturer-name,tag-mass,tag-model,tag-readout-method
kite23,kite23,Milvus migrans,,,harness,kite23,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
32,32,Milvus migrans,,,harness,32,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite12,kite12,Milvus migrans,,,harness,kite12,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
logger119,logger119,Milvus migrans,,,harness,logger119,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
logger104,logger104,Milvus migrans,,,harness,logger104,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
63,63,Milvus migrans,,,harness,63,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite48,kite48,Milvus migrans,,,harness,kite48,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite40,kite40,Milvus migrans,,,harness,kite40,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
58,58,Milvus migrans,,,harness,58,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
18,18,Milvus migrans,,,harness,18,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
p3,p3,Milvus migrans,,,harness,p3,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite28,kite28,Milvus migrans,,,harness,kite28,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
p182012,p182012,Milvus migrans,,,harness,p182012,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite51,kite51,Milvus migrans,,,harness,kite51,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite4,kite4,Milvus migrans,,,harness,kite4,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
p28,p28,Milvus migrans,,,harness,p28,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
34b,34b,Milvus migrans,,,harness,34b,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite49,kite49,Milvus migrans,,,harness,kite49,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
12,12,Milvus migrans,,,harness,12,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
p1,p1,Milvus migrans,,,harness,p1,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite19,kite19,Milvus migrans,,,harness,kite19,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
26,26,Milvus migrans,,,harness,26,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
41,41,Milvus migrans,,,harness,41,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
4,4,Milvus migrans,,,harness,4,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
45,45,Milvus migrans,,,harness,45,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
27,27,Milvus migrans,,,harness,27,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
5,5,Milvus migrans,,,harness,5,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
30,30,Milvus migrans,,,harness,30,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite36,kite36,Milvus migrans,,,harness,kite36,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
p13,p13,Milvus migrans,,,harness,p13,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite21,kite21,Milvus migrans,,,harness,kite21,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite7,kite7,Milvus migrans,,,harness,kite7,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
21,21,Milvus migrans,,,harness,21,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite46,kite46,Milvus migrans,,,harness,kite46,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
60,60,Milvus migrans,,,harness,60,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite52,kite52,Milvus migrans,,,harness,kite52,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
kite15,kite15,Milvus migrans,,,harness,kite15,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
47,47,Milvus migrans,,,harness,47,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
28,28,Milvus migrans,,,harness,28,none,Movetech Telemetry,42.0,TM-202/R9C5,phone-network
